age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
37,no,travel_frequently,556.26,,1,4,,1,764,3,0,69.53,1,2, sales executive ,4,,,11681.39,1,y,,14,3.0,3,part time,2,6.0,2,2.0,6,,1,3,,1986,53914.11,,,1
24,no,,290.04, research & development ,-12,3,medical,1,765,3,0,,4,1, research scientist ,3,married,2342.59,6090.75,1,,no,16,3.0,4,part time,1,5.0,1,3.0,5,,0,4,2342.59,1999,28111.13, research scientist  -  research & development ,,yes
29,no,travel_rarely,306.84,,9,4,medical,1,766,4,1,38.36,3,1, laboratory technician ,3,,,6443.67,9,y,no,17,3.0,3,full time,1,,2,3.0,5,,1,2,,1994,29740.0,,,false
32,no,travel_rarely,1032.49,,19,3,,1,767,4,0,,1,3, sales executive ,3,married,8339.32,21682.23,3,y,no,13,3.0,3,part time,1,,2,1.0,4,,0,2,8339.32,1991,100071.84,,,false
42,no,travel_rarely,285.38,,12,3,medical,1,768,2,0,35.67,3,1, laboratory technician ,2,divorced,2305.0,5993.0,8,,no,22,4.0,2,part time,3,7.0,6,2.0,5,,0,4,2305.0,1981,27660.0,,,yes
41,no,,290.04,,9,4,life sciences,1,769,3,0,,3,1, laboratory technician ,1,divorced,2342.59,6090.75,1,,no,20,4.0,2,part time,2,5.0,2,3.0,5,,0,4,2342.59,1982,28111.13,,,true
44,yes,,290.04,,1,2,,1,770,3,0,,3,1, research scientist ,2,,,6090.75,1,y,yes,12,3.0,3,part time,3,,2,2.0,5,,2,3,,1979,28111.13,,,1
28,no,travel_rarely,290.04,,1,3,,1,771,3,0,36.25,3,1, research scientist ,4,married,2342.59,6090.75,1,,no,11,3.0,3,part time,1,5.0,6,4.0,5,,0,3,2342.59,1995,28111.13,,,true
39,no,,1032.49, research & development ,10,1,medical,1,772,3,0,,3,3, research director ,3,single,8339.32,21682.23,7,,,21,4.0,3,part time,0,,3,3.0,4,,2,2,8339.32,1984,100071.84, research director  -  research & development ,,yes
40,no,,348.42,,2,2,life sciences,1,773,3,1,,3,1, laboratory technician ,1,married,,7316.83,4,,,17,3.0,4,full time,1,7.0,5,2.0,4,,0,2,,1983,33770.0,,,1
37,yes,travel_rarely,434.67,,10,4,,1,774,4,0,,3,2, manufacturing director ,1,single,,9128.17,1,,,15,3.0,2,part time,0,10.0,4,,10,,0,8,,1986,42130.0,,,yes
40,no,,671.98,,1,3,,1,775,3,1,84.0,3,2, healthcare representative ,4,,5427.5,14111.5,4,,,17,3.0,4,full time,1,12.0,3,3.0,5,,0,3,5427.5,1983,65130.0,,,1
26,no,travel_rarely,556.26, sales ,10,3,,1,776,3,0,,3,2, sales executive ,4,,4492.84,11681.39,1,y,no,13,3.0,1,,0,,4,3.0,5,,1,2,4492.84,1997,, sales executive  -  sales ,,false
42,no,,290.04,,10,4,technical degree,1,777,3,0,,3,1, research scientist ,3,married,2342.59,6090.75,3,y,no,22,4.0,2,part time,2,10.0,1,2.0,6,,3,3,2342.59,1981,28111.13,,,0
34,no,travel_rarely,1032.49,,4,3,,1,778,3,0,129.06,3,3, sales executive ,4,married,8339.32,21682.23,2,,yes,13,3.0,4,part time,3,9.0,3,3.0,5,,1,0,8339.32,1989,100071.84,,,1
37,no,travel_rarely,442.0,,7,4,medical,1,779,4,0,55.25,3,2, research scientist ,1,,,9282.0,5,,,22,4.0,3,part time,1,16.0,2,3.0,5,,0,4,,1986,42840.0,,,1
27,no,,229.67,,2,4,technical degree,1,780,2,0,28.71,3,1, research scientist ,2,,1855.0,4823.0,1,,no,11,,3,part time,1,6.0,3,2.0,5,,1,2,1855.0,1996,22260.0,,,0
35,no,travel_rarely,573.75,,18,4,,1,781,2,0,,3,2, sales executive ,1,,4634.17,12048.83,0,,,16,3.0,4,full time,1,,2,1.0,5,,0,4,4634.17,1988,55610.0,,,yes
28,no,non-travel,221.21,,16,3,medical,1,782,3,0,,3,1, research scientist ,3,single,1786.67,4645.33,1,,no,14,3.0,3,,0,5.0,3,2.0,5,,1,4,1786.67,1995,,,,yes
29,no,,554.36,,1,3,life sciences,1,783,1,0,69.29,3,2, healthcare representative ,1,married,4477.5,11641.5,0,y,no,12,3.0,1,part time,1,6.0,5,2.0,5,,0,2,4477.5,1994,53730.0,,,false
54,no,,298.9, research & development ,9,2,,1,784,1,1,,3,2, research scientist ,3,married,2414.17,6276.83,3,,no,11,3.0,3,part time,2,9.0,6,2.0,4,,2,3,2414.17,1969,28970.0, research scientist  -  research & development ,,false
24,no,travel_rarely,556.26,,-41,2,life sciences,1,785,41,0,,2,2, healthcare representative ,3,single,4492.84,11681.39,1,,no,12,3.0,2,,0,4.0,2,2.0,4,,1,2,4492.84,1999,,,,1
38,no,travel_frequently,548.99,,6,4,,1,786,1,0,,2,2, manufacturing director ,3,married,4434.17,11528.83,2,y,no,11,3.0,4,,1,10.0,1,3.0,8,,7,7,4434.17,1985,,,,0
42,no,,558.17,,18,4,,1,787,4,0,69.77,3,2, research scientist ,1,,,11721.67,6,,,17,3.0,3,full time,1,9.0,3,2.0,4,,1,2,,1981,54100.0,,,true
41,no,,287.03,,1,3,life sciences,1,788,4,0,,3,1, research scientist ,4,,,6027.67,3,,no,22,,1,part time,1,,3,3.0,5,,1,0,,1982,27820.0,,,true
25,no,travel_rarely,556.26,,8,2,,1,789,1,1,,3,2, sales executive ,3,,4492.84,11681.39,0,,yes,22,4.0,2,part time,1,6.0,3,2.0,5,,0,4,4492.84,1998,53914.11,,,true
44,no,,290.04,,1,3,medical,1,790,2,0,,3,1, research scientist ,4,single,,6090.75,6,,yes,12,3.0,3,part time,0,6.0,2,3.0,4,,1,2,,1979,28111.13,,,yes
50,yes,,556.26,,1,4,,1,791,2,0,,3,2, sales executive ,3,,4492.84,11681.39,7,,no,12,3.0,4,part time,2,12.0,3,,6,,0,1,4492.84,1973,53914.11,,,yes
36,no,,556.26, sales ,11,4,marketing,1,792,2,1,69.53,2,2, sales executive ,4,married,4492.84,11681.39,4,,no,13,3.0,1,part time,1,8.0,2,2.0,6,,0,0,4492.84,1987,53914.11, sales executive  -  sales ,,0
45,no,,500.4,,20,3,,1,793,4,1,,3,2, sales executive ,3,,,10508.33,8,,no,15,3.0,3,part time,0,,3,3.0,5,,0,1,,1978,48500.0,,,1
40,no,,206.45,,2,4,,1,794,3,1,,3,1, research scientist ,3,married,1667.5,4335.5,2,y,,14,3.0,2,,3,20.0,2,3.0,5,,0,2,1667.5,1983,,,,yes
35,no,travel_rarely,290.04,,1,4,,1,795,3,1,,1,1, research scientist ,4,married,2342.59,6090.75,1,y,no,12,3.0,4,part time,1,4.0,5,3.0,4,,1,1,2342.59,1988,28111.13,,,1
29,no,travel_rarely,556.26,,13,2,other,1,796,4,0,,2,2, laboratory technician ,2,,4492.84,11681.39,4,,,13,3.0,1,part time,1,10.0,2,3.0,4,,0,3,4492.84,1994,53914.11,,,0
34,no,,454.38,,8,3,,1,797,2,0,,4,2, laboratory technician ,3,,3670.0,9542.0,2,y,no,12,3.0,1,,0,,3,4.0,4,,1,2,3670.0,1989,,,,yes
27,no,travel_rarely,290.04,,2,1,,1,798,1,0,36.25,3,1, laboratory technician ,2,married,2342.59,6090.75,9,,no,12,3.0,4,part time,1,6.0,3,3.0,2,,2,2,2342.59,1996,28111.13,,,0
31,no,,290.04, research & development ,26,1,,1,799,1,0,,3,1, research scientist ,3,divorced,,6090.75,1,,,17,3.0,4,part time,1,5.0,1,2.0,5,,4,3,,1992,28111.13, research scientist  -  research & development ,,1
34,no,travel_rarely,290.04,,-38,2,,1,800,2,0,,3,1, laboratory technician ,4,divorced,2342.59,6090.75,0,,,11,3.0,3,,1,3.0,2,3.0,2,,1,2,2342.59,1989,,,,true
28,yes,travel_rarely,290.04, research & development ,24,3,life sciences,1,801,3,0,36.25,2,1, laboratory technician ,3,single,,6090.75,5,,yes,14,3.0,2,part time,0,6.0,4,3.0,4,,0,3,,1995,28111.13, laboratory technician  -  research & development ,,1
32,no,travel_rarely,290.04,,5,2,,1,802,1,0,,4,1, research scientist ,2,divorced,2342.59,6090.75,0,y,yes,12,3.0,4,part time,2,7.0,5,2.0,6,,0,5,2342.59,1991,28111.13,,,true
38,no,,406.92, research & development ,2,3,life sciences,1,803,4,0,50.87,3,1, research scientist ,4,single,3286.67,8545.33,5,y,yes,11,3.0,3,full time,0,6.0,3,3.0,3,,1,2,3286.67,1985,39440.0, research scientist  -  research & development ,,1
24,no,,556.26,,11,2,,1,804,1,1,69.53,4,2, manufacturing director ,3,,,11681.39,0,,no,18,3.0,4,part time,1,5.0,5,2.0,4,,1,3,,1999,53914.11,,,1
34,yes,,305.4,,6,1,,1,805,2,0,38.17,3,1, research scientist ,1,single,,6413.33,2,,no,11,3.0,3,full time,0,,2,3.0,4,,1,3,,1989,29600.0,,,1
32,yes,travel_frequently,290.04, research & development ,16,1,,1,806,2,1,,1,1, research scientist ,1,,,6090.75,1,,,22,,2,part time,0,,5,3.0,10,,6,7,,1991,28111.13, research scientist  -  research & development ,,0
46,no,travel_rarely,1954.85,,2,4,marketing,1,807,2,1,244.36,3,5, manager ,1,single,15789.17,41051.83,3,y,,12,3.0,4,full time,0,22.0,2,2.0,2,,2,1,15789.17,1977,189470.0,,,0
44,no,,667.02,,10,4,other,1,808,4,0,83.38,3,2, healthcare representative ,4,married,,14007.5,2,y,,13,3.0,4,full time,0,,5,4.0,4,,1,3,,1979,64650.0,,,0
50,yes,travel_rarely,276.82,,3,2,,1,809,1,0,,2,1, sales representative ,3,married,,5813.17,1,,,14,3.0,3,part time,0,3.0,2,3.0,3,,0,2,,1973,26830.0,,,1
35,no,,207.79,,2,3,marketing,1,810,4,1,25.97,3,1, sales representative ,4,married,1678.33,4363.67,1,y,no,13,3.0,1,part time,0,2.0,3,3.0,2,,2,2,1678.33,1988,20140.0,,,1
28,yes,,355.02,,5,4,,1,811,3,0,,3,1, laboratory technician ,3,single,,7455.5,1,,yes,13,,3,,0,2.0,3,2.0,2,,2,2,,1995,34410.0,,,1
26,no,,556.26,,-22,3,,1,812,22,1,,2,2, sales executive ,4,married,4492.84,11681.39,7,,yes,19,3.0,3,part time,1,5.0,2,2.0,2,,0,0,4492.84,1997,53914.11,,,false
35,no,travel_rarely,290.04,,-31,4,,1,813,3,1,36.25,3,1, laboratory technician ,1,,,6090.75,3,,yes,15,,3,part time,1,4.0,3,3.0,2,,2,2,,1988,28111.13,,,0
35,no,,290.04,,-31,3,medical,1,814,2,0,,3,1, research scientist ,1,married,2342.59,6090.75,4,,no,13,3.0,4,,1,5.0,2,2.0,3,,1,2,2342.59,1988,,,,1
37,no,travel_rarely,1409.78,,-20,4,medical,1,815,1,0,,3,3, research director ,3,,11386.67,29605.33,4,,,13,,1,full time,0,,3,4.0,5,,0,2,11386.67,1986,136640.0,,,yes
46,no,travel_rarely,518.04,,-38,2,medical,1,816,38,0,,3,2, human resources ,2,divorced,4184.17,10878.83,8,,yes,22,4.0,4,part time,1,,2,3.0,4,,0,2,4184.17,1977,50210.0,,,yes
34,no,travel_rarely,556.26,,1,2,medical,1,817,1,0,69.53,3,2, manufacturing director ,2,married,4492.84,11681.39,1,,no,15,3.0,3,part time,0,,2,3.0,5,,1,3,4492.84,1989,53914.11,,,true
51,no,travel_rarely,290.04,,9,4,,1,818,4,0,,3,1, laboratory technician ,4,,,6090.75,3,,,23,4.0,2,part time,2,10.0,4,3.0,4,,0,3,,1972,28111.13,,,true
24,no,travel_rarely,556.26, sales ,3,2,other,1,819,1,1,,3,2, sales executive ,3,married,4492.84,11681.39,0,,no,21,4.0,1,part time,1,4.0,2,2.0,3,,0,2,4492.84,1999,53914.11, sales executive  -  sales ,,1
44,no,,556.26,,23,3,,1,820,2,0,69.53,3,2, laboratory technician ,2,married,4492.84,11681.39,4,,,12,3.0,3,part time,1,,3,4.0,3,,1,2,4492.84,1979,53914.11,,,true
37,yes,travel_rarely,290.04,,6,4,human resources,1,821,3,0,,3,1, human resources ,1,divorced,2342.59,6090.75,4,,,22,4.0,4,,0,,3,3.0,3,,0,2,2342.59,1986,28111.13,,,true
59,no,non-travel,1944.22,,2,4,human resources,1,822,3,1,243.03,2,5, manager ,4,,,40828.67,9,,no,21,4.0,4,full time,1,,3,3.0,3,,2,2,,1964,188440.0,,,0
25,no,,290.04,,7,1,,1,823,4,0,,2,1, research scientist ,4,married,2342.59,6090.75,1,y,no,11,3.0,3,part time,2,,2,,2,,2,1,2342.59,1998,28111.13,,,true
43,no,,488.94,,-26,3,medical,1,824,2,1,,4,1, research scientist ,3,single,3949.17,10267.83,4,,,12,3.0,4,,0,,2,3.0,3,,1,2,3949.17,1980,,,,yes
50,no,travel_frequently,1032.49,,12,3,,1,825,3,1,,3,3, sales executive ,4,single,8339.32,21682.23,4,y,no,11,3.0,4,part time,0,16.0,3,,2,,2,1,8339.32,1973,100071.84,,,false
31,yes,travel_rarely,556.26,,20,3,,1,826,2,1,,1,2, sales executive ,3,,4492.84,11681.39,3,y,yes,11,3.0,3,part time,1,4.0,2,3.0,2,,2,2,4492.84,1992,53914.11,,,true
36,no,,556.26, research & development ,6,2,medical,1,827,2,0,,3,2, manufacturing director ,2,divorced,,11681.39,6,,no,20,4.0,4,part time,2,7.0,0,3.0,3,,0,1,,1987,53914.11, manufacturing director  -  research & development ,,0
51,yes,travel_frequently,1098.81,,-16,4,,1,828,1,0,,1,3, manufacturing director ,4,,,23075.0,2,y,,15,3.0,4,full time,0,18.0,2,3.0,4,,0,3,,1972,106500.0,,,false
25,no,,556.26, sales ,28,3,life sciences,1,829,1,0,,2,2, sales executive ,3,,,11681.39,2,,,18,3.0,4,part time,0,,3,3.0,2,,2,2,,1998,53914.11, sales executive  -  sales ,,false
38,no,travel_rarely,445.4,,3,5,technical degree,1,830,4,1,,3,2, research scientist ,3,,3597.5,9353.5,3,y,yes,20,4.0,2,,0,19.0,2,,3,,2,2,3597.5,1985,43170.0,,,false
30,no,travel_rarely,290.04, research & development ,5,3,technical degree,1,831,4,1,,3,1, research scientist ,1,divorced,2342.59,6090.75,5,,no,14,,4,part time,1,8.0,3,3.0,3,,2,2,2342.59,1993,28111.13, research scientist  -  research & development ,,1
22,no,,290.04,,-36,1,medical,1,832,36,0,,3,1, research scientist ,4,married,2342.59,6090.75,1,,no,24,4.0,1,,2,2.0,6,3.0,2,,2,2,2342.59,2001,,,,1
27,no,non-travel,208.83, research & development ,9,3,medical,1,833,4,0,26.1,3,1, research scientist ,2,,1686.67,4385.33,6,,,18,3.0,4,part time,1,,1,1.0,2,,2,2,1686.67,1996,20240.0, research scientist  -  research & development ,,1
28,no,,290.04, research & development ,21,3,medical,1,834,3,0,,3,1, research scientist ,4,married,2342.59,6090.75,1,,no,11,3.0,3,part time,1,5.0,2,1.0,5,,0,2,2342.59,1995,28111.13, research scientist  -  research & development ,,yes
27,no,,315.51,,17,3,,1,835,3,0,,3,1, research scientist ,2,,,6625.67,0,y,,16,3.0,4,full time,1,6.0,3,2.0,5,,1,1,,1996,30580.0,,,true
56,no,travel_rarely,290.04,,8,3,life sciences,1,836,3,1,36.25,3,1, research scientist ,1,divorced,2342.59,6090.75,4,,,18,3.0,3,part time,1,,3,,2,,2,2,2342.59,1967,28111.13,,,1
38,no,travel_rarely,290.04,,9,2,,1,837,3,1,,3,1, laboratory technician ,4,single,,6090.75,1,,,12,,3,part time,0,,3,,2,,2,1,,1985,28111.13,,,1
31,no,travel_rarely,405.37,,12,1,medical,1,838,3,1,,3,1, research scientist ,4,,3274.17,8512.83,8,y,,23,4.0,3,full time,1,7.0,0,3.0,4,,0,2,3274.17,1992,39290.0,,,yes
34,no,travel_rarely,290.04,,27,2,medical,1,839,4,1,,3,1, research scientist ,2,,2342.59,6090.75,2,y,no,15,3.0,4,,0,9.0,3,3.0,3,,1,2,2342.59,1989,,,,true
50,no,,290.04, research & development ,1,3,,1,840,3,0,,2,1, laboratory technician ,3,,2342.59,6090.75,2,y,,15,3.0,4,part time,1,,2,2.0,3,,0,2,2342.59,1973,28111.13, laboratory technician  -  research & development ,,0
53,no,,556.26,,13,2,,1,841,4,1,,4,2, manufacturing director ,1,divorced,4492.84,11681.39,1,y,no,11,3.0,3,,2,5.0,3,3.0,4,2.0,1,3,4492.84,1970,,,,false
35,no,travel_frequently,456.55,,-24,3,medical,1,842,2,1,,3,2, laboratory technician ,2,single,3687.5,9587.5,5,,,11,3.0,4,part time,0,,5,3.0,6,,1,2,3687.5,1988,44250.0,,,yes
27,no,travel_frequently,556.26,,1,1,,1,843,3,0,,2,2, manufacturing director ,1,married,4492.84,11681.39,5,,,19,3.0,3,part time,1,,1,3.0,2,,2,0,4492.84,1996,53914.11,,,0
40,no,,556.26,,-38,2,,1,844,3,0,69.53,3,2, laboratory technician ,4,married,4492.84,11681.39,8,,,15,3.0,3,part time,1,,2,4.0,7,,3,7,4492.84,1983,53914.11,,,true
22,no,,240.19,,-22,3,life sciences,1,845,22,0,,4,1, research scientist ,2,,1940.0,5044.0,1,,,16,3.0,1,part time,1,4.0,2,2.0,4,,2,2,1940.0,2001,23280.0,,,0
40,no,,556.26,,-10,5,life sciences,1,846,4,0,69.53,2,2, healthcare representative ,4,,4492.84,11681.39,9,y,no,14,3.0,4,part time,1,5.0,5,1.0,3,,0,2,4492.84,1983,53914.11,,,yes
46,no,,1032.49,,1,4,,1,847,4,0,,3,3, healthcare representative ,1,,8339.32,21682.23,7,,no,16,3.0,3,,1,17.0,3,3.0,4,,0,3,8339.32,1977,,,,1
30,yes,,274.13,,3,3,technical degree,1,848,4,1,,3,1, research scientist ,1,,2214.17,5756.83,5,,yes,11,3.0,3,,0,8.0,5,3.0,5,,0,4,2214.17,1993,,,,true
29,yes,,290.04,,1,3,,1,849,3,0,,3,1, research scientist ,3,single,2342.59,6090.75,0,,,14,3.0,4,part time,0,,1,2.0,6,,1,5,2342.59,1994,28111.13,,,false
54,no,,612.86,,3,3,,1,850,4,1,76.61,3,2, sales executive ,1,married,,12870.0,2,,,14,3.0,4,full time,1,16.0,4,3.0,6,,0,5,,1969,59400.0,,,0
33,no,travel_rarely,270.52, research & development ,4,4,,1,851,3,1,33.82,2,1, research scientist ,2,married,2185.0,5681.0,6,y,,21,4.0,4,part time,0,,3,3.0,3,,1,1,2185.0,1990,26220.0, research scientist  -  research & development ,,1
52,no,travel_rarely,331.4,,2,3,,1,852,3,1,41.42,2,1, laboratory technician ,4,single,2676.67,6959.33,7,,,15,3.0,2,full time,0,,3,2.0,2,,2,2,2676.67,1971,32120.0,,,true
59,no,travel_rarely,290.04, human resources ,6,2,medical,1,853,2,0,,3,1, human resources ,3,married,2342.59,6090.75,8,y,,17,3.0,4,part time,0,,2,2.0,2,,2,2,2342.59,1964,28111.13, human resources  -  human resources ,,false
32,yes,,290.04,,1,3,,1,854,4,0,,2,1, laboratory technician ,3,single,2342.59,6090.75,0,,,14,3.0,4,,0,4.0,2,1.0,3,,1,2,2342.59,1991,,,,true
39,no,,290.04,,-24,4,medical,1,855,24,1,36.25,3,1, laboratory technician ,3,divorced,2342.59,6090.75,7,,no,14,3.0,3,part time,3,7.0,1,3.0,3,,1,2,2342.59,1984,28111.13,,,0
32,no,non-travel,556.26,,26,4,marketing,1,856,3,0,69.53,3,2, sales executive ,4,,4492.84,11681.39,0,,no,18,3.0,1,part time,0,4.0,2,3.0,3,,2,2,4492.84,1991,53914.11,,,true
31,no,,1032.49,,3,4,medical,1,857,2,0,,3,3, research director ,3,divorced,8339.32,21682.23,9,,no,12,3.0,1,part time,1,,3,3.0,2,,2,2,8339.32,1992,100071.84,,,true
33,no,travel_rarely,300.34,,5,4,life sciences,1,858,3,1,,2,1, research scientist ,4,married,2425.83,6307.17,1,,,13,3.0,3,full time,1,2.0,2,2.0,2,,0,2,2425.83,1990,29110.0,,,yes
45,no,,556.26,,-23,4,life sciences,1,859,1,0,,4,2, manufacturing director ,3,,4492.84,11681.39,4,,,17,3.0,4,,1,9.0,1,3.0,3,,0,2,4492.84,1978,,,,yes
42,no,,556.26, research & development ,17,2,,1,860,4,1,69.53,4,2, research scientist ,1,single,,11681.39,3,,yes,13,3.0,3,part time,0,,1,3.0,3,,0,2,,1981,53914.11, research scientist  -  research & development ,,true
29,no,,715.1,,-19,2,marketing,1,861,4,0,89.39,3,2, sales executive ,4,divorced,,15017.17,2,,no,14,3.0,4,full time,1,,2,3.0,3,,0,2,,1994,69310.0,,,0
25,no,travel_rarely,556.26,,1,3,,1,862,1,1,,3,2, manufacturing director ,3,married,4492.84,11681.39,0,y,no,12,3.0,4,,2,5.0,3,3.0,4,,1,2,4492.84,1998,53914.11,,,0
32,no,,224.51,,2,1,,1,863,4,0,,2,2, laboratory technician ,1,,1813.33,4714.67,4,,no,13,3.0,4,part time,0,9.0,5,3.0,6,,0,4,1813.33,1991,21760.0,,,0
28,no,travel_rarely,290.04,,9,3,,1,864,4,0,,3,1, research scientist ,4,married,,6090.75,1,,no,23,4.0,4,,1,,3,,5,,0,4,,1995,28111.13,,,1
21,no,travel_rarely,333.25,,3,2,,1,865,4,0,,2,1, research scientist ,3,single,,6998.33,1,y,no,17,3.0,1,full time,0,,4,4.0,3,,1,0,,2002,32300.0,,,0
37,no,non-travel,1032.49,,1,4,medical,1,866,1,1,129.06,3,3, research director ,4,divorced,8339.32,21682.23,2,y,yes,18,3.0,1,part time,2,,2,3.0,5,,0,2,8339.32,1986,100071.84,,,0
38,no,travel_rarely,556.26,,23,4,life sciences,1,867,4,0,,3,2, healthcare representative ,4,,4492.84,11681.39,9,,,14,3.0,2,part time,1,,2,3.0,2,,1,2,4492.84,1985,53914.11,,,false
26,yes,travel_rarely,290.04,,16,4,medical,1,868,1,0,,3,1, laboratory technician ,2,divorced,2342.59,6090.75,2,,yes,13,3.0,4,part time,1,,2,3.0,3,,0,2,2342.59,1997,28111.13,,,false
49,no,,1925.75,,10,4,life sciences,1,869,3,1,240.72,3,5, research director ,1,single,15554.17,40440.83,9,y,yes,11,3.0,4,full time,0,,4,3.0,3,,1,2,15554.17,1974,186650.0,,,true
31,no,travel_frequently,287.75, sales ,5,3,,1,870,4,1,,3,1, sales representative ,2,divorced,,6042.83,1,,,11,3.0,3,part time,1,2.0,5,2.0,2,,2,2,,1992,27890.0, sales representative  -  sales ,,true
37,no,travel_frequently,290.04,,9,3,medical,1,871,2,0,,3,1, research scientist ,4,married,2342.59,6090.75,1,y,,12,3.0,3,part time,3,,3,2.0,4,,1,2,2342.59,1986,28111.13,,,0
31,no,travel_rarely,290.04, research & development ,-11,4,,1,872,11,0,,3,1, research scientist ,4,married,2342.59,6090.75,0,,,12,3.0,3,part time,1,,4,3.0,5,,0,3,2342.59,1992,28111.13, research scientist  -  research & development ,,1
31,no,travel_rarely,661.35,,2,3,human resources,1,873,1,0,82.67,2,2, human resources ,1,,5341.67,13888.33,3,y,no,12,3.0,4,full time,0,,1,3.0,2,,1,0,5341.67,1992,64100.0,,,false
31,no,,290.04, research & development ,2,4,,1,874,3,0,36.25,3,1, research scientist ,4,,2342.59,6090.75,0,y,,18,3.0,2,part time,1,3.0,2,1.0,2,,2,2,2342.59,1992,28111.13, research scientist  -  research & development ,,true
52,yes,,509.79,,-17,4,medical,1,875,17,0,,2,2, research scientist ,2,,4117.5,10705.5,2,,no,15,,1,part time,0,11.0,3,2.0,8,,7,7,4117.5,1971,49410.0,,,false
28,yes,,290.04,,2,4,medical,1,876,1,0,,1,1, research scientist ,4,married,2342.59,6090.75,5,y,yes,13,3.0,4,,0,,4,2.0,3,,2,2,2342.59,1995,,,,true
47,no,travel_rarely,1973.98,,5,5,,1,877,4,0,246.75,3,5, research director ,3,married,,41453.67,4,y,,11,3.0,2,full time,1,21.0,2,3.0,3,,1,1,,1976,191324.62,,,false
29,no,,410.94,,9,5,other,1,878,2,0,,2,1, laboratory technician ,4,,3319.17,8629.83,0,,no,17,3.0,3,full time,0,4.0,2,,3,,2,2,3319.17,1994,39830.0,,,true
37,no,,654.85,,5,2,medical,1,879,4,0,,3,2, manufacturing director ,4,,5289.17,13751.83,7,y,no,16,3.0,3,,2,8.0,2,2.0,6,,0,4,5289.17,1986,,,,yes
23,no,,299.62,,26,1,,1,880,3,0,,3,1, research scientist ,4,,2420.0,6292.0,1,y,,12,3.0,3,full time,2,,2,2.0,4,,0,2,2420.0,2000,29040.0,,,0
42,no,travel_rarely,278.16, human resources ,2,1,,1,881,3,0,,3,1, human resources ,3,divorced,2246.67,5841.33,0,y,yes,11,3.0,3,,1,4.0,5,3.0,3,,1,0,2246.67,1981,, human resources  -  human resources ,,false
30,no,,556.26, sales ,25,2,,1,882,4,1,,3,2, sales executive ,3,,4492.84,11681.39,7,,,12,3.0,2,,1,4.0,2,4.0,2,,2,2,4492.84,1993,, sales executive  -  sales ,,0
21,yes,,224.3,,-31,1,,1,883,1,1,28.04,2,1, sales representative ,2,single,,4710.33,1,,,11,3.0,3,part time,0,3.0,3,3.0,3,,1,2,,2002,21740.0,,,yes
57,no,travel_rarely,696.94,,1,4,medical,1,884,4,0,,3,2, healthcare representative ,3,,5629.17,14635.83,2,,no,11,3.0,3,,0,,2,3.0,3,,1,2,5629.17,1966,,,,1
21,no,,290.04,,9,2,,1,885,1,0,,3,1, sales representative ,4,single,2342.59,6090.75,1,,,24,4.0,3,,0,3.0,3,2.0,3,2.0,2,2,2342.59,2002,28111.13,,,1
31,no,travel_rarely,274.13,,9,4,life sciences,1,886,3,0,34.27,2,1, research scientist ,2,,2214.17,5756.83,0,y,,16,3.0,4,part time,0,3.0,5,3.0,2,,2,2,2214.17,1992,26570.0,,,true
29,no,,290.04, research & development ,-17,3,,1,887,17,0,36.25,3,1, research scientist ,4,,2342.59,6090.75,9,,no,16,,4,part time,0,6.0,4,3.0,3,,1,2,2342.59,1994,28111.13, research scientist  -  research & development ,,0
27,no,travel_rarely,290.04,,1,2,,1,888,4,0,,3,1, laboratory technician ,2,,2342.59,6090.75,1,,no,11,3.0,2,part time,1,5.0,2,3.0,5,,0,4,2342.59,1996,28111.13,,,1
49,no,travel_rarely,1131.31,,7,3,other,1,889,2,0,141.41,2,3, healthcare representative ,3,single,9137.5,23757.5,8,y,no,24,4.0,3,full time,0,,2,3.0,5,,0,0,9137.5,1974,109650.0,,,yes
36,no,travel_rarely,262.37,,2,3,,1,890,4,1,32.8,3,1, research scientist ,3,married,,5509.83,4,,no,13,3.0,2,part time,1,,3,3.0,2,,2,2,,1987,25430.0,,,yes
34,yes,non-travel,547.24,,19,3,marketing,1,891,1,0,68.4,4,2, sales executive ,4,,4420.0,11492.0,8,,yes,13,3.0,2,part time,0,,3,2.0,5,,0,4,4420.0,1989,53040.0,,,1
24,no,,556.26,,10,4,marketing,1,892,4,1,,3,2, sales executive ,3,divorced,4492.84,11681.39,1,,yes,12,3.0,4,part time,1,,2,4.0,5,,0,3,4492.84,1999,53914.11,,,true
42,no,,290.04,,1,4,,1,893,2,1,,3,1, laboratory technician ,1,,,6090.75,3,y,no,16,3.0,2,part time,1,8.0,5,3.0,5,,1,2,,1981,28111.13,,,yes
54,no,,2002.21,,5,2,medical,1,894,1,0,,3,5, research director ,1,married,16171.67,42046.33,4,y,,11,3.0,3,full time,1,24.0,4,2.0,4,,1,2,16171.67,1969,194060.0,,,0
